Name (Name),Adresse (Address),Website (Webseite)
Bau- und Wohngenossenschaft ZELG,"Heinrich-Matter-Strasse 15, 3612 Steffisburg",www.bwgzelg.ch
Bau- und Wohngenossenschaft Zum Kirschgarten,"Supperstrasse 20, 4125 Riehen",N/A
Baugenossenschaft Aare Bern,"Spitalgasse 30, 3011 Bern",www.bgaare.ch
Baugenossenschaft Allmend Schaffhausen,"Kohlfirststrasse 50, 8203 Schaffhausen",N/A
Baugenossenschaft Alpenblick,"Eugen-Huberstrasse 21, 8048 Zurich",www.baugenossenschaft-alpenblick.ch
Baugenossenschaft am Muhlbach Chur,"Tittwiesenstrasse 61, 7000 Chur",www.bamchur.ch
Baugenossenschaft an der Reppisch,"Altbergstrasse 11, 8953 Dietikon",N/A
Baugenossenschaft Azur,"Vega-Strasse 3, 8152 Glattpark (Opfikon)",www.bgazur.ch
Baugenossenschaft BERNA,"Schermenweg 115, 3006 Bern",www.baugenossenschaft-berna.ch
Baugenossenschaft berufstatiger Frauen,"Wasserwerkstrasse 116, 8037 Zurich",N/A
Baugenossenschaft beruso Luzern,"Ruflisbergstrasse 14, 6006 Luzern",N/A
Baugenossenschaft Bethlehem,"Bahnhofplatz 3, 3011 Bern",N/A
Baugenossenschaft Birmensdorf,"Stallikonerstrasse 42, 8903 Birmensdorf",N/A
Baugenossenschaft Blumenau,"Salstrasse 119, 8400 Winterthur",N/A
Baugenossenschaft Bratello,"Haldenweg 3, 4133 Pratteln",N/A
Baugenossenschaft Brunnenhof Zurich (BBZ),"Kunzlistrasse 54, 8057 Zurich",www.bgbrunnenhof.ch
Baugenossenschaft Brunnenrain,"Widmerstrasse 50, 8038 Zurich",N/A
Baugenossenschaft Brunnen-Eichholz,"Morgenstrasse 83a, 3018 Bern",www.bruennen-eichholz.ch
Baugenossenschaft Bundespersonal Zumikon und Umgebung,"Thesenacher 18, 8126 Zumikon",N/A
Baugenossenschaft Bulach,"Kasernenstrasse 1, 8180 Bulach",N/A
Baugenossenschaft Banklen,"Seestrasse 112, 8802 Kilchberg",N/A
Baugenossenschaft Calanda Domat/Ems,"Via Trebla 5, 7013 Domat/Ems",N/A
Baugenossenschaft CHAMPAGNE Biel,"Freiburgstrasse 34, 2503 Biel/Bienne",N/A
"Baugenossenschaft Chasa Reisgia, Ftan","Stradun 319 A, 7550 Scuol",www.lischana-scuol.ch
Baugenossenschaft Chateau DIF,"Oberer Deutweg 41, 8400 Winterthur",N/A
Baugenossenschaft Denzlerstrasse,"Honggerstrasse 69, 8037 Zurich",www.bdz.ch
Baugenossenschaft der Strassenbahner,"Grebelackerstrasse 31, 8057 Zurich",www.bagestra.ch
Baugenossenschaft des Bundespersonals aurora,"Gartenstrasse 22, 8700 Kusnacht ZH",N/A
Baugenossenschaft des Bundespersonals Basel (BBB),"Eidgenossenweg 5, 4002 Basel",www.bbb-basel.ch
Baugenossenschaft des Kaufm. Verbandes ZH,"Mattenhof 25, 8051 Zurich",www.bgkvz.ch
Baugenossenschaft des SBB Personals Reussmatt,"Leonhardstrasse 51, 6472 Erstfeld",N/A
Baugenossenschaft Dietlikon-Bruttisellen,"Bahnhofstrasse 52, 8305 Dietlikon",www.bgdb.ch
Baugenossenschaft Dreitannen Olten,"Im Kleinholz 55, 4600 Olten",www.bgd-olten.ch
Baugenossenschaft Eggholzli,"Eggholzlistrasse 45, 3006 Bern",N/A
"Baugenossenschaft Eidgen. Beamter, Zurich-Flugplatz","Speerstrasse 4, 8302 Kloten",www.bgeb.ch
Baugenossenschaft Eigenheim Romanshorn,"Scheffelstrasse 3, 8590 Romanshorn",www.bg-eigenheim.ch
Baugenossenschaft Entlisberg,"Im Bergdorfli 8, 8038 Zurich",N/A
Baugenossenschaft Familia Ingenbohl,"Alte Kantonsstrasse 14a, 6440 Brunnen",N/A
Baugenossenschaft Felsenegg,"Erlenstrasse 4, 8134 Adliswil",N/A
Baugenossenschaft Flurweg,2500 Biel/Bienne 6,N/A
Baugenossenschaft Freiblick,"Leimbachstrasse 107, 8041 Zurich",www.freiblick.ch
Baugenossenschaft Freiland,4901 Langenthal,www.bfl-langenthal.ch
Baugenossenschaft Freiland Munsingen,3110 Munsingen,www.bgfreiland.ch
Baugenossenschaft Fridolin,"Lindenstrasse 4, 8865 Bilten",N/A
Baugenossenschaft FRIEDHEIM,"Langgasse 55, 2504 Biel/Bienne",N/A
Baugenossenschaft Frohes Wohnen Zurich BFWZ,"Meierwiesenstrasse 20, 8064 Zurich",www.bgwohnen.ch
Baugenossenschaft Frohheim Zurich (BGF),"Lowenstrasse 25, 8001 Zurich",www.bg-frohheim.ch
Baugenossenschaft Frohlisberg,"Safnernweg 56, 2504 Biel/Bienne",www.froehlisberg.ch
Baugenossenschaft fur neuzeitliches Wohnen,"Zwischenbachen 94, 8048 Zurich",www.bgnzwo.ch
Baugenossenschaft fur schones Wohnen,"Zwyssigstrasse 20, 9000 St. Gallen",www.bsw-sg.ch
Baugenossenschaft fur zeitgemasses Wohnen Uster,"Fehraltorferstrasse 12, 8615 Wermatswil",www.wohnen-bzu.ch
Baugenossenschaft GISA,"Kirchenackerweg 29, 8050 Zurich",www.bg-gisa.ch
Baugenossenschaft Glarus,"Schutzenhausstrasse 60, 8750 Glarus",www.bgglarus.ch
Baugenossenschaft Glattal Zurich,"Kronwiesenstrasse 95, 8051 Zurich",www.bg-glattal.ch
Baugenossenschaft Glattfelden,"Dorfstrasse 85, 8192 Glattfelden",N/A
Baugenossenschaft Goldau,"Sonneggstrasse 24, 6410 Goldau",N/A
