Name (Name),Adresse (Address),Website (Webseite)
Cooperative L'Habrik,"60, rue de Vermont, 1202 Geneve",N/A
Cooperative L.I.F.E,"Bd de Perolles 33, 1700 Fribourg",N/A
Cooperative logements Marin-Epagnier Coloma,"Sous-les-Ouches 1, 2074 Marin-Epagnier",N/A
Cooperative Osons,"Route de Villarzel 2, 1554 Rossens VD",N/A
Cooperative pour la constrasse de la renov. de logts a caractere social,"Rue de la Gare 24, 1260 Nyon",N/A
COPIMMOB CAROLINE 12 societe cooperative,1211 Geneve 17,N/A
COPROLO CAROUGE Societe cooperative pour la promotion du logement,"Rue Edouard-Rod 24, 1203 Geneve",N/A
CSDF - Cooperative Sociale pour le developpement foncier,1001 Lausanne,N/A
CWW Christliche Wohnbaugenossenschaft,"Glarnischstrasse 3, 8633 Wolfhausen",N/A
Davoser Wohngenossenschaft,"Heimstrasse 4, 7270 Davos Platz",www.davoserwohngenossenschaft.ch
Die Schachli Baugenossenschaft Dietikon,"Schoneggstrasse 29, 8953 Dietikon",www.dieschaechli.ch
Dorf AG Freienwil,"Schulstrasse 2, 5423 Freienwil",www.dorfag.ch
Eisenbahner Baugenossenschaft,"Poststrasse 139, 8957 Spreitenbach",N/A
Eisenbahner Baugenossenschaft Chur,"Scalettastrasse 107, 7000 Chur",ebg-chur.ch
Eisenbahner Baugenossenschaft Dreispitz Zurich,"Neugasse 155/001, 8005 Zurich",www.ebg-dreispitz.ch
Eisenbahner Baugenossenschaft EBGO,"Pestalozzistrasse 17, 4600 Olten",www.ebgo.ch
Eisenbahner Baugenossenschaft Flugelrad Olten,"Hohenstrasse West 18, 4600 Olten",www.ebgf-olten.ch
Eisenbahner Baugenossenschaft Gonzen,"Ragazerstrasse 15, 7320 Sargans",N/A
Eisenbahner Baugenossenschaft Koblenz,"Tuftelstrasse 2, 5322 Koblenz",www.ebg-koblenz.ch
Eisenbahner Baugenossenschaft Rorschach,"Schonbrunnweg 5, 9400 Rorschach",www.ebgrorschach.ch
Eisenbahner Baugenossenschaft Sargans,"Pizolstrasse 22, 7320 Sargans",N/A
Eisenbahner Baugenossenschaft St. Gallen,"Schorenstrasse 45, 9000 St. Gallen",www.ebg-stgallen.ch
Eisenbahner Baugenossenschaft Wettingen,"Hardstrasse 28, 5430 Wettingen",N/A
Eisenbahner Baugenossenschaft Wil SG,"Othmarstrasse 39, 9500 Wil",N/A
Eisenbahner Baugenossenschaft Zurich-Altstetten,"Eisenbahnerstrasse 3, 8048 Zurich",www.eba-zuerich.ch
Eisenbahner BG Windisch,"Romerhof 28, 5210 Windisch",N/A
Eisenbahner-Baugenossenschaft beider Basel (EBG),"Am Stausee 1, 4127 Birsfelden",www.ebg.ch
Eisenbahner-Baugenossenschaft Bern,"Hauensteinweg 14, 3008 Bern",www.ebgbern.ch
Eisenbahner-Baugenossenschaft Erstfeld,6472 Erstfeld,www.kolonie.ch
Eisenbahner-Baugenossenschaft Goschenen,"Kirchmatt 2, 6487 Goschenen",N/A
Eisenbahner-Baugenossenschaft Kienburg-Olten,"Im Meierhof 4, 4600 Olten",www.ebg-kienburg-olten.ch
Eisenbahner-Baugenossenschaft Langnau,"Hauensteinweg 14, 3008 Bern",N/A
Eisenbahner-Baugenossenschaft Nidau,"Genossenschaftsstrasse 18, 2560 Nidau",www.ebg-nidau.ch
Eisenbahner-Baugenossenschaft Ostermundigen,"Gerbestrasse 32, 3072 Ostermundigen",N/A
Eisenbahner-Baugenossenschaft Winterthur,"Im Schorli 5, 8600 Dubendorf",www.ebgw.ch
Eisenbahner-Baugenossenschaft Zug,"Letzistrasse 22, 6300 Zug",N/A
Eisenbahner-Wohnbaugenossenschaft Landquart,"Dammstrasse B, 7302 Landquart",N/A
Eisenbahner-Wohnbaugenossenschaft Samedan,"Bahnhofstrasse 25, 7001 Chur",N/A
Eisenbahnerbaugenossenschaft Rapperswil,"Helvetiastrasse 13, 8640 Rapperswil",www.eisenbahner.ch
Eisenbahnerbaugenossenschaft Schonau Lyss,"Schonau 11, 3250 Lyss",N/A
Emissionszentrale fur gemeinnutzige Wohnbautrager EGW,"Leberngasse 9, 4601 Olten",www.egw-ccl.ch
Erlenflex Genossenschaft,"Goldbachweg 2, 4058 Basel",www.erlenflex.ch
Evang. Wohnbaugenossenschaft Promulins,"Via Maistra 100, 7504 Pontresina",www.niza.ch
Evangelische Bau- und Wohngenossenschaft Basel (EBWG),"Byfangweg 49, 4051 Basel",www.ebwg.ch
Evangelischer Frauenbund Zurich efz,"Brahmsstrasse 32, 8003 Zurich",www.vefz.ch
FADS - Fondation en faveur des adultes en difficultes sociales,"Rue du Grenier 5-7, 2300 La Chaux-de-Fonds",www.fads-de.ch
FAMBAU Genossenschaft,"Muhledorfstrasse 5, 3018 Bern",www.fambau.ch
Familienheim-Genossenschaft Zurich (FGZ),"Friesenbergplatz 1, 8045 Zurich",www.fgzzh.ch
Familienheimgenossenschaft Am Hornli,"Landauerstrasse 104, 4058 Basel",www.fhg-basel.ch
Familienheimgenossenschaft WORB,3076 Worb,N/A
Fassbind Susanna,"Obmoos 8, 6300 Zug",N/A
Fildern Wohnbau AG,"Rigiweg 5, 6033 Buchrain",N/A
Fondation Yverdonnoise pour le logement,"Avenue des Sports 14, 1400 Yverdon-les-Bains",N/A
Fondation a l'Oree des Chenes,"Rue Principale 6, 2933 Damphreux",N/A
Fondation Chez Nous,2068 Hauterive NE,N/A
Fondation Clair-Logis,"c/o M. Roland Piquerez, 2740 Moutier",N/A
Fondation d'utilite publique pour la location particip. PARLOCA VAUD,"Avenue de la Gare 29, 1001 Lausanne",N/A
Fondation de l'ancien Hopital de la Beroche,2024 St-Aubin,N/A
Fondation de la Ville de Fribourg en faveur du logem.,"Rue de l'Hopital 2, 1700 Fribourg",N/A
Fondation de la Ville de Geneve pour le logement social,"Avenue de la Foret 17, 1202 Geneve",N/A
Fondation des etablissements cantonaux pour personnes agees,"Rue des Charmettes 10, 2006 Neuchatel",www.fecpa.ch
"Fondation des logements pour personnes agees ou isolees, Geneve","Route des Franchises 26, 1203 Geneve",N/A
Fondation du Home Dubied,"Fontenelle 19, 2108 Couvet",N/A
Fondation immobiliere de la Ville d'Onex,"Rue du Comte-Geraud 6, 1213 Onex",N/A
Fondation La Valletaine,"Route des Rangiers 7, 2952 Cornol",N/A
Fondation Lausannoise pour la Construction de Logements (FLCL),"Route de Chavannes 105, 1007 Lausanne",N/A
"Fondation Les Baumettes, etabliss. medico-social de Renens et environs","Av. des Baumettes 120, 1020 Renens",www.baumettes.ch
Fondation Mon Foyer,"Pre-Fleuri 9, 1951 Sion",N/A
Fondation Partenaire Logement,"Ch. des Paquerettes 37, 1950 Sion",N/A
Fondation pour la promotion du logem. bon marche et de l'habitat coop.,"Chemin des Merinos 12, 1212 Grand-Lancy",N/A
Fondation pour une residence universitaire internationale,"Rue Rothschild 22, 1202 Geneve",www.frui.ch
Fondation Pra Bastian,"Impasse Pra Bastian 6, 1726 Farvagny-le Grand",N/A
Fondation privee pour des logements a loyers moderes,"Route des Acacias 54, 1227 Les Acacias",N/A
Fondation Pro Habitat Lausanne,"Rte des Plaines-du-Loup 32, 1000 Lausanne 18",N/A
Fondation Rencontre,"Av. Leopold-Robert 56b, 2300 La Chaux-de-Fonds",N/A
FONDATION RUTH ET FRIEDRICH GROHE,"Rue du Canal 6, 1347 Le Sentier",N/A
Fondation St-Maurice,"Chemin du Stand 12, 1782 Belfaux",N/A
Fondation Universitaire pour le logement des etudiants,"Ch. Malombre 14, 1206 Geneve",N/A
Fondazione Casa Dorotea,"Via Giuseppe Stabile 14, 6900 Lugano",www.casadorotea.ch
Freisinnige Wohnbaugen. St.Gallen,"Oberer Graben 3, 9004 St. Gallen",N/A
fundaziun da casa val lumnezia,"Davos Cuort 27D, 7144 Vella",www.da-casa.ch
Gais Logis societe cooperative,"Rue de la Combe 11, 1260 Nyon 1",N/A
gaiwo Genossenschaft fur Alters- und Invalidenwohnungen,"Kirchplatz 5, 8400 Winterthur",www.gaiwo.ch
GAL Genossenschaft Alterswohnungen Lostorf,"Eihubelstrasse 20, 4654 Lostorf",N/A
GAWO Genossenschaft fur Alterswohnungen Oberrieden,"Spielhofweg 12, 8942 Oberrieden",www.gawo-oberrieden.ch
"GBS, Gemeinnutzige Baugenossenschaft SG","Katharinengasse 12, 9000 St. Gallen",N/A
GBSG Neuenhof,"Birkenstrasse 17, 5432 Neuenhof",N/A
GdG Ostschweiz,"Herisauer Strasse 62, 9015 St. Gallen",www.weber-verwaltungen.ch
GEFA Wohnbaugenossenschaft,"Waldstatterstrasse 9, 6003 Luzern",N/A
"Gemeindeverwaltung Eschenbach SG, Abteilung Liegenschaften + Strassen","Rickenstrasse 12, 8733 Eschenbach",www.eschenbach.ch/de/verwaltung/aemter/?amt_id=11656
"Gemeinn. Baugenossenschaft des Verkehrspersonals Goldau, Gemeinde Arth","Vogelsangstrasse 16, 6410 Goldau",N/A
Gemeinnutzige Bau- u. Wohngenossenschaft FREISTATT,"Fischerweg 19, 3600 Thun",www.freistatt.ch
Gemeinnutzige Bau- und Mietergenossenschaft Zurich (GBMZ),"Hohlstrasse 195, 8004 Zurich",www.gbmz.ch
Gemeinnutzige Baugenossenschaft Affoltern am Albis,"Gartenstrasse 9, 8910 Affoltern am Albis",N/A
Gemeinnutzige Baugenossenschaft Burgmatte,"Karl Stauffer-Strasse 16, 8008 Zurich",N/A
Gemeinnutzige Baugenossenschaft Cham GBC,"Mugerenstrasse 5, 6330 Cham",www.gbc-cham.ch
Gemeinnutzige Baugenossenschaft Erlenbach GBE,"Im Bindschadler 23, 8703 Erlenbach ZH",www.gbe-erlenbach.ch
Gemeinnutzige Baugenossenschaft Heimelig,"Butzenstrasse 33, 8038 Zurich",N/A
Gemeinnutzige Baugenossenschaft Hirslanden,"Wetlistrasse 7, 8032 Zurich",N/A
Gemeinnutzige Baugenossenschaft Horgen,"Einsiedlerstrasse 159, 8810 Horgen",N/A
Gemeinnutzige Baugenossenschaft InVia,"Neeserweg 10, 8048 Zurich",www.gbinvia.ch
Gemeinnutzige Baugenossenschaft Jungholz,"Obsthaldenstrasse 101, 8046 Zurich",N/A
Gemeinnutzige Baugenossenschaft Limmattal (GBL),"Fellenbergstrasse 218, 8047 Zurich",www.gbl.ch
Gemeinnutzige Baugenossenschaft Pratteln (GBP),"Johann Martin-Strasse 2, 4133 Pratteln",www.gb-pratteln.ch
Gemeinnutzige Baugenossenschaft Richterswil,"Bergstrasse 186, 8833 Samstagern",www.gemeinnützige.ch
Gemeinnutzige Baugenossenschaft Riesbach,"Bleulerstrasse 7, 8008 Zurich",www.gbriesbach.ch
Gemeinnutzige Baugenossenschaft Rontgenhof Zurich (GBRZ),"Ottostrasse 5, 8005 Zurich",www.roentgenhof.ch
Gemeinnutzige Baugenossenschaft Selbsthilfe Zurich,"Schubertstrasse 18, 8037 Zurich",N/A
Gemeinnutzige Baugenossenschaft Thalwil,"Schwandelstrasse 30, 8800 Thalwil",www.gbt-thalwil.ch
Gemeinnutzige Baugenossenschaft Wetzikon,"Schoneichstrasse 38, 8620 Wetzikon",www.g-b-w.ch
Gemeinnutzige Baugenossenschaft Zug,"Gartenstadt 5, 6300 Zug",N/A
Gemeinnutzige Baugenossenschaft Zurich 2,"Tannenrauchstrasse 102, 8038 Zurich",www.gbz2.ch
Gemeinnutzige Baugenossenschaft Zurich 7,"Drusbergstrasse 18, 8053 Zurich",www.gbz7.ch
Gemeinnutzige Genossenschaft Alterswohnen Beatenberg,"p.A. Spirenwaldstrasse 314, 3803 Beatenberg",www.alterswohnen-beatenberg.ch
Gemeinnutzige Genossenschaft Spyrigarten Hirzel,"Bergstrasse 1, 8816 Hirzel",N/A
Gemeinnutzige Gesellschaft Wettingen GGW,"Alberich Zwyssigstrasse 7, 5430 Wettingen",N/A
Gemeinnutzige Immobilien-Stiftung Schaffhausen,"Rosengasse 16, 8200 Schaffhausen",N/A
Gemeinnutzige Stiftung fur preisgunstigen Wohnraum Luzern (GSW),"Rossligasse 14, 6004 Luzern",N/A
Gemeinnutzige WBG Spiez fur Alters- und Familienwohnungen,3700 Spiez,www.wbgspiez.ch
Gemeinnutzige Wohnbau Meilen AG GEWOMAG,"Birchweidweg 5, 8707 Uetikon am See",N/A
Gemeinnutzige Wohnbau-Genossenschaft March,"Kantonsstrasse 35, 8862 Schubelbach",www.gwg-march.ch
Gemeinnutzige Wohnbaugen. Tegula,"Quaderstrasse 8, 7002 Chur",www.bardilltreuhand.ch
Gemeinnutzige Wohnbaugenossenschaft Industriestrasse Luzern (GWI),"Bireggstrasse 36, 6003 Luzern",www.gwi-luzern.ch
Gemeinnutzige Wohnbaugenossenschaft Rothrist - GWR,4852 Rothrist,N/A
Gemeinnutzige Wohnbaugenossenschaft Schonthal-Rikon,"Schontalstrasse 30, 8486 Rikon",N/A
GEMIWO,"Stahlrain 2, 5200 Brugg",www.gemiwo.ch
Gen. Alterssiedlung Rorschacherberg,"Sulzbergstrasse 26, 9404 Rorschacherberg",www.alterssiedlung-rorschach.ch/
Gen. Alterswohnungen Roggwil/Freidorf (GARF),"Jakob Gsell-Weg 4, 9325 Roggwil",N/A
Gen. Anders Wohnen,"Bergstrasse 4, 9410 Heiden",www.anders-wohnen.ch
Gen. Betreutes Wohnen Appenzell,"Eggerstandenstrasse 2a, 9050 Appenzell",www.gbwa.ch
Gen. Dorfzentrum Affeltrangen,"Marwilerstrasse 3, 9556 Affeltrangen",www.dorfzentrum-affeltrangen.ch
Gen. fur Alterswohnungen Lichtensteig,"Loretostrasse 40, 9620 Lichtensteig",www.dreilinden-lichtensteig.ch
"Gen. fur Alterswohnungen, Degersheim","Seeblickstrasse 2, 9113 Degersheim",www.degersheim.ch/DE/53/Vereine.htm
Gen. Imfeld-Friedenstrasse,"Friedenstrasse 4, 5430 Wettingen",www.gif-wettingen.ch
Gen. Neumuhle Goldach,"Sagestrasse 4, 9403 Goldach",N/A
Gen. Wohnen in Eichberg,"Kapfstrasse 52, 9453 Eichberg",www.wohnen-in-eichberg.ch
Gene'Z cooperative participative de construction et d'habitation,"Ch. Cesar-Couvoisier 18, 1290 Versoix",N/A
Genossenschaft Gypsgrueb,"Gipsstrasse 55, 5422 Oberehrendingen",N/A
"Genossenschaft ""Alte Post Riehen""","Baselstrasse 57, 4125 Riehen",N/A
"Genossenschaft ""wohnen plus"" Schaffhausen","Spitalstrasse 27, 8200 Schaffhausen",www.wohnenplus-sh.ch
Genossenschaft 31. Marz,"Anwandstrasse 34, 8004 Zurich",N/A
Genossenschaft Achslenblick,"Cunzstrasse 32, 9016 St. Gallen",N/A
"Genossenschaft Adler, Unterstammheim","Else-Zubelin-Strasse 36, 8047 Zurich",www.wohnlicheradler.ch
Genossenschaft Allmendholz,"Allmendholzliweg 14, 8810 Horgen",N/A
Genossenschaft Alpinit Sarmenstorf,"Alpinitstrasse 5B, 5614 Sarmenstorf",N/A
Genossenschaft Alte Buchserstrasse Boppelsen,"Alte Buchserstrasse 14, 8113 Boppelsen",www.wia-boppelsen.ch
Genossenschaft Alternative Schonegg Bern,"Seftigenstrasse 115, 3007 Bern",N/A
Genossenschaft Alters- und Pflegeheim Haus Holzenstein,"Holzensteinerstrasse 36, 8590 Romanshorn",www.hausholzenstein.ch
Genossenschaft Alterssiedlung Arbon,"Rebenstrasse 16, 9320 Arbon",www.alterssiedlung-arbon.ch
Genossenschaft Alterssiedlung Durnten,"Nauenstrasse 24 d, 8632 Tann",www.ga-duernten.ch
Genossenschaft Alterssiedlung Eichlinde,"Breitenhofstrasse 6, 8630 Ruti",www.eichlinde.ch
Genossenschaft Alterssiedlung Pfyn und Umgebung,"Wybergstrasse 2, 8505 Pfyn",www.lindebuel-pfyn.ch
Genossenschaft Alterssiedlung Sissach,"Sonnhaldenweg 27, 4450 Sissach",www.alterssiedlung-sissach.ch/
Genossenschaft Alterssiedlung Trubschachen,"c/o Treuhand & Beratung Steffen GmbH, 3555 Trubschachen",www.as-trubschachen.ch
Genossenschaft Alterssiedlung Urnasch,"Sonnhalde 16, 9107 Urnasch",N/A
Genossenschaft Alterssiedlung Wetzikon,"Bahnhofstrasse 256, 8623 Wetzikon",www.alterssiedlung-wetzikon.ch
"Genossenschaft Alterssiedlung Wiesental, Andwil","Lindenstrasse 4, 9204 Andwil",www.alterssiedlung.jimdofree.com
Genossenschaft Alterswohnen Erlinsbach,"Hohrain 7, 5015 Erlinsbach SO",N/A
Genossenschaft Alterswohnen Luppmenpark,"Breitistrasse 18, 8335 Hittnau",www.luppmenpark.ch
Genossenschaft Alterswohnen Vilters-Wangs,"Stampfstudenweg 1, 7323 Wangs",www.vilters-wangs.ch/de/gemeindebtriebe/altersheim
Genossenschaft Alterswohnungen Eschenbach (GAW Eschenbach),"Mariahaldenstrasse 9, 8872 Weesen",N/A
Genossenschaft Alterswohnungen Flaachtal,"Tuechstrasse 6, 8416 Flaach",www.alterswohnen-flaachtal.ch
Genossenschaft Alterswohnungen Grabs,"Stutlistrasse 25, 9472 Grabs",www.wohnen-grabs.ch
Genossenschaft Alterswohnungen Itingen (GAWI),"Talweg 1, 4452 Itingen",www.gawi.ch
Genossenschaft Alterswohnungen Linth,"Zigerribistrasse 4, 8868 Oberurnen",www.gaw-linth.ch
Genossenschaft Alterswohnungen Mels,"Schlingsweg 11, 8887 Mels",N/A
Genossenschaft Alterswohnungen Schanis,"Fuchswinkel 25, 8718 Schanis",N/A
Genossenschaft Alterswohnungen Stein am Rhein,"Chupferwise 4, 8260 Stein am Rhein",www.alterswohnungen-steinamrhein.ch
Genossenschaft Alterswohnungen Wiesendangen,"Stationsstrasse 57, 8542 Wiesendangen",N/A
Genossenschaft ALTSTADT BRUGG,"Hauptstrasse 43, 5200 Brugg",www.altstadtbrugg.ch
Genossenschaft AM HOF Koniz,"Konizstrasse 74, 3008 Bern",www.am-hof-koeniz.ch
Genossenschaft Amtshaus Kaiserstuhl,"Hauptgasse 35, 5466 Kaiserstuhl",N/A
Genossenschaft Andere Wohnformen im Sturlerhaus am Altenberg,"Altenbergstrasse 60, 3013 Bern",www.stuerlerhaus.com
Genossenschaft ARWO,"Kreuzstrasse 6b, 8610 Uster",N/A
Genossenschaft BEGGO,"Breitenstrasse 2, 8463 Benken ZH",www.genossenschaft-beggo.ch
Genossenschaft BEZET,"Zentralstrasse 142, 8003 Zurich",N/A
Genossenschaft BG16,"Brunngasse 16, 3011 Bern",www.bg16.ch
Genossenschaft BROWO,"Rebbergstrasse 35, 8037 Zurich",N/A
Genossenschaft Choschthuus,"Auweg 4, 5102 Rupperswil",N/A
Genossenschaft Cohabitat,"Barenfelserstrasse 21, 4057 Basel",N/A
Genossenschaft der Baufreunde,"Binzmuhlestrasse 306, 8046 Zurich",www.baufreunde.ch
Genossenschaft Dorfkern,"Schurbungert 12, 8057 Zurich",www.dorfkern.net
Genossenschaft Dornacherstrasse Basel,"Dornacherstrasse 28, 4053 Basel",N/A
Genossenschaft Dreieck,"Gartenhofstrasse 27, 8004 Zurich",www.dasdreieck.ch
Genossenschaft DURCHBRUCH,"Tellstrasse 19, 8004 Zurich",N/A
Genossenschaft eins,"Schlossliweg 8, 8200 Schaffhausen",www.genossenschaft1.ch
Genossenschaft Eisenwerk Frauenfeld,"Industriestrasse 23, 8500 Frauenfeld",www.eisenwerk.ch
Genossenschaft Emdwis Lindau,"Neuhofstrasse 8, 8315 Lindau",www.emdwis.ch
Genossenschaft FAB-A,"Fabrikgassli 1, 2502 Biel/Bienne",www.fab-a.ch
Genossenschaft Falkenstein Rheinfelden,"Rindergasse 2, 4310 Rheinfelden",N/A
Genossenschaft Feuerwehr Viktoria,"Viktoriastrasse 70, 3013 Bern",www.feuerwehrviktoria.ch
Genossenschaft Freudenau,"Freudenau 2092, 9620 Lichtensteig",www.freudenau.sg
Genossenschaft fur altersgerechtes Wohnen,"Landweg 5, 4462 Rickenbach BL",www.rickenbach-bl.ch/adressen#GAWO
Genossenschaft fur Alterswohnungen Baar,"Grabenstrasse 1f, 6340 Baar",www.alterswohnungen-baar.ch
Genossenschaft fur Alterswohnungen Berneck,"Gemperenstrasse 4c, 9442 Berneck",www.alpharheintalbank.ch
Genossenschaft fur Alterswohnungen in Olten,"Gallusstrasse 3, 4612 Wangen b.O.",www.mueller-treuhandgmbh.ch
Genossenschaft fur Alterswohnungen Lindau,"Neuhofstrasse 15, 8315 Lindau",www.alterszentrum-winterberg.ch/
Genossenschaft fur Alterswohnungen Stockli,"Blumentalstrasse 4, 8707 Uetikon am See",N/A
Genossenschaft fur Alterswohnungen Zurich-Schwamendingen,"Heinrich-Bosshardt-Strasse 3, 8051 Zurich",N/A
Genossenschaft fur gemeinnutzigen Wohnungsbau GEWOBA,"General-Guisan-Strasse 22, 6303 Zug",www.gewoba.ch
Genossenschaft fur generationenubergreifendes Wohnen,"Spitalgasse 4, 3001 Bern",N/A
Genossenschaft fur sozialen Wohnungsbau Arlesheim,"Baselstrasse 60, 4144 Arlesheim",www.gfswa.ch
Genossenschaft fur sozialen Wohnungsbau Pratteln (SOWOPRA),"Grussenweg 3, 4133 Pratteln",N/A
Genossenschaft fur Wohnkultur,"Kirchbuhlstrasse 16, 5630 Muri AG",www.genossenschaft-wohnkultur.ch
Genossenschaft fur Wohnungsbau GWE,"Wanne 4, 6182 Escholzmatt",N/A
Genossenschaft Gasi,"Industriestrasse 15, 8952 Schlieren",www.genossenschaft-gasi.ch
Genossenschaft Gemeindesiedlung Zwingen,"August-Cueni-Strasse 19, 4222 Zwingen",N/A
Genossenschaft Gemeindestube Toss,"Reutgasse 11, 8406 Winterthur",N/A
Genossenschaft gemeinsames Wohnen GeGeWo,"Spittelgassli 13, 3235 Erlach",N/A
Genossenschaft GenerationenWohnenSeeberg,"Kirchgasse 20, 3365 Seeberg",www.gewo-seeberg.ch
Genossenschaft GEWONA NORD-WEST,"Wartenbergstrasse 40, 4052 Basel",www.gewona.ch
Genossenschaft Grenze,"Elsasserstrasse 248, 4056 Basel",N/A
Genossenschaft Grune Linde,"Webergasse 18, 8200 Schaffhausen",N/A
Genossenschaft Habilon,"Cunzstrasse 31, 9016 St. Gallen",www.habilon.ch
Genossenschaft Haus 109,"Hard 1, 8408 Winterthur",N/A
Genossenschaft Haus Oslo Ateliers,"Oslostrasse 10, 4142 Munchenstein",www.oslo-ateliers.ch
Genossenschaft Herrlibau,"Buchenrain 7, 8704 Herrliberg",N/A
Genossenschaft Herzetappe 10,"Hermetschloostrasse 70, 8048 Zurich",herzetappe10.ch/
Genossenschaft Hestia Aarau,"Herzogstrasse 14, 5001 Aarau",N/A
Genossenschaft hindernisfreies Wohnen,"Bahnhofstrasse 7, 5300 Turgi",www.ghw.turgi.ch
Genossenschaft Hofgarten,"Maneggplatz 34, 8041 Zurich",www.geho.ch
Genossenschaft I de Grueb,"I de Grueb 2, 8418 Schlatt b. Winterthur",N/A
Genossenschaft Iglu,"Burgstrasse 4, 8037 Zurich",N/A
Genossenschaft im Neusatz,"Mattenstrasse 6, 8212 Neuhausen am Rheinfall",N/A
Genossenschaft K18,"Kapellenstrasse 18, 3011 Bern",N/A
Genossenschaft Kalkbreite,"Kalkbreitestrasse 2, 8003 Zurich",www.kalkbreite.net
Genossenschaft Karthago,"Zentralstrasse 150, 8003 Zurich",N/A
Genossenschaft Konkordia,"Wartstrasse 27, 8401 Winterthur",N/A
Genossenschaft KUKUZ,"Morgenstrasse 70, 3018 Bern",N/A
Genossenschaft Kultur-Haus Rossli,"Bahnhofstrasse 1, 8712 Stafa",N/A
Genossenschaft Leben im Fluss,"Hornbachstrasse 22, 8008 Zurich",N/A
Genossenschaft Leben in Kaiserstuhl,"Kirchplatz 41, 5466 Kaiserstuhl AG",www.glik.ch
Genossenschaft Lebensraum Belmont,"Oberdorfweg 4, 3812 Wilderswil",www.lebensraumbelmont.ch
Genossenschaft LebensTraum,"Wenzikon 12, 8354 Hofstetten ZH",N/A
Genossenschaft LEBENsuhr,"Muhlemattweg 18, 5034 Suhr",www.lebensuhr.ch
Genossenschaft LEWIWO Eulenhof,"Schaufelgasse 11, 4313 Mohlin",eulenhof-moehlin.ch/
Genossenschaft Limmatau,"Limmatauweg 9, 5408 Ennetbaden",N/A
Genossenschaft Lutertalpark,"Stockerenstrasse 21, 3065 Bolligen",www.lutertalpark.ch
Genossenschaft Mietshauser Syndikat,"Kaltbrunnenstrasse 35, 4054 Basel",www.mietshaeusersyndikat.ch
Genossenschaft Mulibach Andelfingen,"Obermuhlestrasse 11, 8450 Andelfingen",N/A
Genossenschaft Narcisse Jaune,"Narzissenweg 29, 2504 Biel/Bienne",N/A
Genossenschaft Neubuhl,"Nidelbadstrasse 79, 8038 Zurich",www.neubuehl.ch
Genossenschaft Ochsen,"Vordere Hauptgasse 8, 4800 Zofingen",N/A
Genossenschaft Off,"Offenburgerstrasse 59, 4057 Basel",N/A
Genossenschaft Permadies,"Burenstrasse 7, 8558 Raperswilen",N/A
Genossenschaft Platten 64,"Plattenstrasse 64, 8032 Zurich",N/A
Genossenschaft Pressunion,"Burglistrasse 29, 8401 Winterthur",N/A
"Genossenschaft Postli, Adlikon","Haldenweg 1, 8452 Adlikon b. Andelfingen",www.postadlikon.ch
Genossenschaft Roter Tisch,"Turnerstrasse 2, 8006 Zurich",N/A
Genossenschaft Rothus-Wies,"Asylstrasse 46, 8708 Mannedorf",N/A
Genossenschaft Runa,"Belchenweg 2, 5742 Kolliken",N/A
Genossenschaft Schmittewis Bernhardzell,"Leimatstrasse 26, 9205 Waldkirch",N/A
Genossenschaft Schulhaus Gimmelwald,"Reindli 783, 3826 Gimmelwald",www.schulhaus-gimmelwald.ch
Genossenschaft Seniorenwohnungen Lausen,"Schelligackerstrasse 3, 4415 Lausen",www.gsl-lausen.ch
Genossenschaft Seniorenzentrum Im Spitz,"Adlibogenstrasse 18, 8155 Niederhasli",N/A
Genossenschaft SeniorInnenwohnungen Hintermatt Ziefen,"Lupsingerstrasse 28a, 4417 Ziefen",www.hintermatt.ch
Genossenschaft SEWOP,"Kashaldenstrasse 30, 8052 Zurich",www.sewop.ch
Genossenschaft Solidus,"St.Gallerstrasse 56, 8352 Elsau",www.genossenschaft-solidus.ch
Genossenschaft Spatzenhof Ermatingen,"Poststrasse 3, 8272 Ermatingen",www.genossenschaft-spatzenhof.ch
Genossenschaft Spatwerk,"St.-Georgen-Strasse 33, 8400 Winterthur",N/A
Genossenschaft Stadtufer,"Stadtbrucke 3, 9620 Lichtensteig",www.stadtufer.ch
Genossenschaft Steinerebach,"Lohliweg 19, 3325 Hettiswil",N/A
Genossenschaft Studentenhaus ALV,"Wehntalerstrasse 41, 8057 Zurich",www.alvhaus.ch
Genossenschaft Sunnezirkel Rickenbach,"Morsburgstrasse 2b, 8545 Rickenbach Sulz",www.sunnezirkel.ch
Genossenschaft Turnerstrasse Basel,"Turnerstrasse 32, 4058 Basel",N/A
Genossenschaft Unter einem Dach,"Juchstrasse 22, 8400 Winterthur",N/A
Genossenschaft Urbane Dorfer,"Effingerstrasse 10, 3011 Bern",www.urbanedoerfer.ch
Genossenschaft Villa Turmalin,"Oekingenstrasse 9, 4557 Horriwil",N/A
Genossenschaft WeitWohnen,"Niklaus-Konrad-Strasse 23, 4500 Solothurn",www.weitwohnen.ch
Genossenschaft WIA,"Leimeneggstrasse 27, 8400 Winterthur",N/A
Genossenschaft WIA Hinterthurgau,"Niederhofen 21, 8363 Bichelsee",www.wia-hinterthurgau.ch
Genossenschaft WIA Lenzburg,"Martha-Ringier-Strasse 2, 5600 Lenzburg",www.wialenzburg.ch/
Genossenschaft wogenau,"Spyristrasse 4, 9008 St. Gallen",N/A
Genossenschaft WOGENO Zurich,"Hardturmstrasse 134, 8005 Zurich",www.wogeno-zuerich.ch
